,text
0,4살여자아이 보고나서 엉엉울었네요 ㅎㅎ아무래도 아빠를 찾는 장면에서 뭉클했던거같아요~^^
1,괜찬음ㅎㅎ 아수라보단
2,나쁘진않았지만 뭔가 짬뽕된것같고 그래픽도 좀유치. . 아무리 애니라도 내용에 설득력이 많이부족해서 그다지 재밌다거나한 느낌은 없었네요. 좀 막만든. . 그냥 애라 같이 본데 의의를~ 잘봤어요
3,아이들 관점에서 잼있었어요~ 저희 아이는 눈물도 흘렸네요^^
4,재밌어여.여아들이 조아할 만한 스토리.그리 길지않아 지루하지 않게 볼 수 있었어요.
5,왠만하면 6살짜리 우리딸 깔깔 웃으며 보는데 단한번도 안웃었다. 그래픽도 어설프고 음악도 엉망임. 어른은 다 자고 있고 애들은 언제 재밌는 장면 나오나 기다리다가 그냥 끝남
6,제눈엔허접스러워요 7살아이는 재밌다네요 ㅋㅋ
7,가족과 재미있는 영화로 좋은 시간 보냈습니다 아이에게 의미있는 영화로 남을것같아요
8,아이들과 함께가서 즐거운시간 보내고왔습니다.  아이들이 아빠를 다시 한번 생각하게되는 좋은기회였던것같습니다~^^
9,두려워 하지마. 잘 봤습니다.
10,아이들의 눈높이~재미있게 보았네요.
11,대학교 졸업작품같은 완성도...돈이 아까워요
12,등장인물들의 움직임들이 부자연스러워  보이는게 아쉽습니다 제대로 홍보도 되질 않았는지 하루에 12시 딱 한번 상영하는것도 아쉬었네요 내용은 6~7세  여자아이가 딱 좋아할 내용이였습니다
13,아이와 같이 잘봤어요. 아빠의 소중함을 느끼길바라며~~~
14,아이들이 보기에 잔잔한 감동이 있네요
15,이이가 재미있게봤어요
16,어른도 잼있게 볼수 있어서 좋네요 ㅎ
17,아이들도 너무 재밌어하고 저또한 재미있게 보았어요^^ 감동도 있는 영화인거 같아요~~
18,아이들만 보러 들어갔는데...슬퍼서 울었다며 재밌게봤다하네요ㅎ
19,사랑스러운 영화. 추천합니다.
20,어른들은 유치했지만  아이들 수준에 맞게  쉽게 만들어졌네요.  생각보다 재밌게 봤어요.
21,너무 감동이였는지 같이 본 딸이 울고 날리네요 돈이 아깝지 않네요
22,우리딸 취향저격 감동적이었다며 재잘재잘 영화 이야기를 하네요~
23,완성도 있는 애니메이션은 아니네요
24,내용도모르겠고...지루했어요...아이가졸렵데요..
25,역시 중국산 애니는 허접하고 허술한게 눈에 많이 띄네요 스토리도 별로고 기대안했네요 그래도애들은 아빠 만나는 장면이 감동적인지 7살딸은 울고11살 아들은 조금감동이야 하네요
26,캐릭터 디자인부터  스토리까지 허접 그 자체  역시 중국산 애니
27,그런데 이영화 메리다라는 디즈니 영화 따라했네 이거 신고해도 됨?그런데 이거 꽤 재밌음
28,허술해요 애들은 괜찮아했지만
29,정말 너무 형편없는 그래픽과 스토리 구성.... 이런 걸 극장에서 상영하다니 충격적이네요. 홍보만 그럴싸하게 하고.. 돈 아까운 영화였어요.
30,일본거하고 질 차이가 나는듯
31,와우 조카가 겁나 재밋게 보네요!
32,"8살 딸 평~""너무  재미있고 감동적이네요."""
33,오랫만에 조카랑 영화관람 했는데 재미있다고  좋아하네요~ !!
34,가족과 재미있는 영화로 좋은 시간 보냈습니다 아이에게 의미있는 영화로 남을것같아요
35,오늘영화정말정말재미겠봡습니다
36,어린 아이들과  보기에  좋은 영화였다~!!!
37,아이들이  좋아하네요 굿 굿굿
38,재밌게봤네요.아이들이넘좋와해요ㅋ
39,아이들과 함께 보기에 정말 좋은것같아요
40,"그림체도 예쁘고, 내용도 너무 좋고, 딸아이가 너무 좋아해서 또 보고싶다고 하네요."
41,백설공주의새로운해석^^너무 재미있게 봤네요. ~~
42,5살인데 아이가 굉장히 재미있게 잘보내요
43,정말 잼있네여강추합니다~!! 보다가 눈물 펑펑ㅜㅜ완전 조아여><
44,ㅎㅎㅎ 아주 재밌을듯 ^^
45,ㅎㅎㅎ 아주 재밌을듯 ^^
46,7살딸내미랑 봤는데 재미있게 웃으며 보다가 아빠만나는 장면에서 펑펑우네요 무섭다고 그이후 부터 무섭고 재미없다네요 ㅎㅎ
47,넘잼있어요 너무 슬퍼요 눈물펑펑넘잼있어요 너무 슬퍼요 눈물펑펑
48,재미있었어요..스릴감도 있고
49,스토리자체가약간..백설공주가아니라다른어떤공주가왔어도됐을뻔요~^^아이들은재미있다고하네요
50,어른들이보기엔 약간 지루함..아이들은재밌었다하니 만족요~^^
51,아들이 집중해서 잘보더라구요^^재밋었던거같아요
52,아이들이 무척 좋아 합니다
53,"남자아이가볼거라내심걱정했는데아들딸할것없이정말잘봤던것같아요~~부모와아이가함께영화로굿,"
54,다행히 결말은 해피엔딩으로 끝났네요~재밌었습니다!
55,딸아이랑 재미있게 봤습니다.
56,두 딸램보여주려구 봤는데 어른인저도 잼나게 봤네요.아빠랑 봤으면 더 좋았겠다하는 생각이 들었네요마지막엔 딸이 눈물까지 흘렸네요
57,재미있게봤으나 중간중간 지루할때도있네요
58,5살 아이가 펑펑울었어요
59,하늘나라에있음 이거 노잼임 보지마셈
60,아이가 정말 좋아하네요.
61,6살 아들이 아주 재밋데요
62,중국영화다운 구성입니다
63,남자 아이도 재미나게 봤어요. 아빠와 함께보면 더 의미있을 영화. 가족에 대해 다시 한 번 생각하게 해줘요
64,보다 진짜 노답이라 끔  ㅡㅡ 알바가쓰나 평점 짜증나네
65,여자 아이들이 좋아할만한 애니메이션이지만 어른인 제가 보기에는 조금 아쉬운 부분들이 있네요
66,초등학교 4학년인 저희  딸이 아빠를 찾아헤매다 만나는 장면에서 아빠 생각이 나는지 눈물을 보이며 감동받는 모습이였습니다~~재미있게 잘 보았습니다...
67,6살 딸 재밌었다네요...
68,얼.안좋아요..이상해요...ㅣ
69,6세 4세 아이들과 재밌게 잘 봤어요^^
70,난 졸리지만..딸은 재미있게 본거 같애요
71,올 잼밌겠다.나중에 함 봐야지~~~~
72,아이들과 보기에 좋습니다^^
73,5살 6살 딸 둘과 재미있게.보았습니다 백설공주와.  아빠이야기.나오니 아이들이 감동이 되고 몰입을 하는거같아요
74,이거 진짜 그래픽엉망 스토리엉망 애들보는거라고 막만든 느낌
75,재미는있는데슬픔을억지로좀만들려한듯하네요ㅡㅎ
76,"내용이며,그림이며..아무리 아이들꺼라지만..."
77,어른이보기엔 노잼이었지만 아이들은 재미있게 봤습니다
78,재미있게 잘봤구요 감동도있네요ㅎ
79,"한나의 아버지를 찾아 백설공주와 난쟁이 두명이 함께 길을 떠납니다.아버지를 찾아 헤메는 과정이 조금은 험난하고 힘들지만 포기하지 않고, 서로 도와가며 한나의 아버지를 성에서 구출하는 장면들이 우리 아이들에게 감동을 ..."
80,내용도 이상하고 무엇보다 그래픽 ;;;:
81,재미있었습니다.애들이 너무 좋아합니다.
82,애기들이랑 재밋게잘봣습니다.
83,감동을 주는 영화였어요  재밌었어요
84,아이와 함께 가따왔네요. 내용은 아이들 수준딱 좋고요.마지막부분 감동적이네요
85,아기가 좋아는 하는데 영상 완성도가 부족하네요
86,아이가 웃기도 하고 슬프다 표현도 하고 5살 남자아이와 감성 묻어나게 보고 나왔네요~추천해요
87,너무 즐겁고 교훈적이였어요
88,재미있게 보았습니다.살짝 슬프기도하구여
89,남자아이들도 재밌게보네요~~~
90,여자 애들은 좋아할만한 ㅋㅋㅋ그런데 ㅠㅠㅠ 아무리 그래도 좀 신경써서 만드시짘ㅋㅋㅋ 애니 발연기에 아주 ... 놀램
91,아이가 재밌어해요~ㅎㅎ
92,너무슬펐어요아이들이보고엄청울었네오
93,딸이 재미나게봤습니다
94,"우리딸은 눈물,  콧물 다흘리면서 봤어요너무 슬펐데요,"
95,아이가 아주 재밌아 합니다
96,넘나 잼나게 봤구만요~ 흥해라 흥!
97,"우리 아기는 보다가 울었어요. 그리고 정말 재미있긴한데, 혼자 아빠를 찾으려면 무서울것 같은데..."
98,어디 대학 동아리에서 제작한줄...중간중간에 흐름 딱 끊기고 별론데... 6세이하는 괜찮을듯
99,너무    너무  재밌어요^^  이모도재밌다내요
100,아이가  재미있게 봤습니다
101,더빙도 안맞고 그래픽도 별로.
102,아이들은좋아하네요~단순한백설공주얘기에서 가족애를 느낄수있어서 좋으네요~
103,아이랑 같이 보기 좋아요
104,백설공주가 주인공이  아니네요ㆍ짜집기한  스토리같아요ㆍ졸았어요
105,백설공주는 말할 필요가 없음!
106,아이가 눈물을 흘리네여~~
107,아이들에게 감동을 주는 영화입니다
108,딸들이 보고 조아라.. 역시 딸들에겐 공주가 갑^^애글눈높이에 맞는영화 .. 비도오는데 즐거운시간보내고왔슴다
109,잼나네요 아이들도 신나하구요
110,집중집중~~너무재미있어요~~
111,그럭저럭 볼만했습니다~~
112,괜찮아요 아이들보기좋네요
113,아이랑보기 좋았습니다
114,테이블 영화관 처음 가봤는데 너무 좋네요 영화도 5세6세 지루해하지않고 재미있게 봤어요^^
115,긴장감이나 긴박감이 부족...하지만 아이들의 따뜻한 동심을 느낄수 있는 영화였습니다
116,그래픽 OO다는것만 명심하고 보시길ㅋㅋㅋ 눈이아픔
117,저희아인 정말 재밋게 봤어요~~집에와서 포스트들고 무한반복 스토리 야기하네용
118,딸아이가 너무 좋아하네요~~^^
119,추억도 생각나고 ㅎㅎ 친숙한 소재를 재해석한 이야기 좋네요! 아이와보기 추천합니다
120,어린이 감성이 발육되는 좋은 영화네요 ㅋ
121,조카랑 보고왔어요~ 조카가 좋아해서 오랜만에 점수 좀 땄네요~^^
122,백설공주 이야기에 감동까지~ 아이들이 울고 웃으면서 재미나게 보네요 강추!
123,6세 아이 보기 좋아요~
124,조카랑 눈물찔끔하며 봤네요 ㅠㅠ 감동적이고 아이랑 즐거워할만한 영화였슴다 잘 봤습니다~
125,딸아이가 재미있어하네요~~
126,별로 재미없어요 졸았어요
127,"딸이 재미있대서 별 세개.. 사실 여러모로 빈틈이 많이 보이는 애니메이션임, 인물 표정도 그렇고 흐름 끊기는 것도 그렇고 잘만들지는 못한듯"
128,딱 대학교 졸업생들이 졸업과제로 만든 퀄리티네요.. 어설픈 3d가 군데군데 깨지고 캐릭터도 전혀 매력적이지 않으며 로봇틱한 작위적인 동작이 눈쌀을 찌푸리게 합니다.. 싱크도 안맞고 중간중간 씬이 건너뛰어서(특히 물에...
129,빠마 머리 백설공주란 진짜 시각적 고통을 안겨준다.고월트 디즈니 선생이 무덤에서 벌떡 일어나셔서 이 애니 감독 제작자 관계인물들 영원히 용서 안하실 듯...남의 걸작을 이따위로 니들 맘대로 쳐 망쳐 대지 말아라.이짓...
